geno;pheno;nSamples;nCases;nControls;p;beta;lower;upper;se;MedCases;MedControls;Panel
TET2_VE_VAF20;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;56;35472;2,81E-08;-0,713691838;-0,965548362;-0,461835313;0,128496188;-0,413850901;0,003742866;Cardiometabolic
JAK2_mis_VAF20;CXCL11:O14625:OID21042:v1:Neurology;35866;5;35861;3,06E-08;2,398058255;1,549474501;3,246642009;0,432944164;2,455730225;0,006155155;Neurology
TET2_VE_mis_VAF20;PRSS27:Q9BQR3:OID20212:v1:Cardiometabolic;35398;69;35329;3,07E-08;-0,65222467;-0,883035993;-0,421413346;0,117758996;-0,813742181;0,002244535;Cardiometabolic
TET2_VE_mis_VAF10;KIR2DL3:P43628:OID21196:v1:Oncology;34690;196;34494;3,17E-08;-0,386350191;-0,523213086;-0,249487295;0,069826842;-0,225581122;0,020918042;Oncology
TET2_VE_VAF20;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;59;35386;4,04E-08;0,70165964;0,451174463;0,952144817;0,127796522;0,983710534;0,008661226;Inflammation
ASXL1_VE_VAF20;MANSC1:Q9H8J5:OID21492:v1:Oncology;35644;25;35619;4,12E-08;1,061498738;0,682293613;1,440703863;0,193468954;1,193276956;0,02415972;Oncology
JAK2_mis_VAF10;SORT1:Q99523:OID20213:v1:Cardiometabolic;35459;14;35445;4,13E-08;1,430442352;0,919409403;1,9414753;0,260726942;1,694860573;0,02164787;Cardiometabolic
CH_mis_VAF20;FLT3LG:P49771:OID20661:v1:Inflammation;35880;125;35755;4,31E-08;-0,465188119;-0,631602088;-0,29877415;0,084903768;-0,323405455;0,01297116;Inflammation
JAK2_mis_VAF10;CDH6:P55285:OID20157:v1:Cardiometabolic;35528;14;35514;4,50E-08;1,414338519;0,907658446;1,921018593;0,25850614;1,706688317;0,020485239;Cardiometabolic
CH_VE_mis_VAF05;APP:P05067:OID21070:v1:Neurology;35585;1459;34126;5,29E-08;-0,1448555;-0,197022438;-0,092688561;0,026615364;-0,106596588;0,010382515;Neurology
CH_VE_VAF10;DDAH1:O94760:OID21299:v1:Oncology;35344;462;34882;5,33E-08;0,245239369;0,156898589;0,333580148;0,045071103;0,307701683;0,005818574;Oncology
SRSF2_mis;CLEC11A:Q9Y240:OID21112:v1:Neurology;35522;23;35499;5,33E-08;1,092425068;0,698896063;1,485954073;0,200776917;1,247312924;-0,006454262;Neurology
JAK2_mis_VAF10;KAZALD1:Q96I82:OID21339:v1:Oncology;35344;12;35332;6,65E-08;1,522966837;0,970326888;2,075606786;0,281954634;1,14258312;0,009961124;Oncology
JAK2_mis;SORT1:Q99523:OID20213:v1:Cardiometabolic;35459;16;35443;7,04E-08;1,314935467;0,836894323;1,79297661;0,243894656;1,458234646;0,02164787;Cardiometabolic
JAK2_mis_VAF05;SORT1:Q99523:OID20213:v1:Cardiometabolic;35459;16;35443;7,04E-08;1,314935467;0,836894323;1,79297661;0,243894656;1,458234646;0,02164787;Cardiometabolic
TET2_VE_mis;PRSS27:Q9BQR3:OID20212:v1:Cardiometabolic;35398;395;35003;8,06E-08;-0,266570508;-0,36392182;-0,169219197;0,049668242;-0,304701015;0,002244535;Cardiometabolic
CH_VE_mis_VAF10;CD300C:Q08708:OID21010:v1:Neurology;35866;776;35090;8,16E-08;0,180743778;0,114707451;0,246780105;0,03369148;0,291370647;0,031393892;Neurology
CH_VE_mis_VAF05;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;1453;33992;8,24E-08;0,142300515;0,090292353;0,194308676;0,026534353;0,101746566;-0,000477197;Inflammation
SF3B1_mis_VAF05;TNFSF13:O75888:OID20733:v1:Inflammation;35657;20;35637;8,26E-08;-1,143669551;-1,561692143;-0,72564696;0,213273475;-0,689420136;0,025995833;Inflammation
TET2_mis_VAF05;FLT3LG:P49771:OID20661:v1:Inflammation;35880;117;35763;8,31E-08;-0,468739134;-0,640101522;-0,297376746;0,087428432;-0,408431347;0,01297116;Inflammation
CH_VE_VAF10;FLT3:P36888:OID21272:v1:Oncology;34690;455;34235;8,59E-08;0,246471546;0,156263744;0,336679349;0,046023621;0,187141234;-0,011823714;Oncology
TET2_VE_VAF10;LILRB1:Q8NHL6:OID20323:v1:Cardiometabolic;35953;144;35809;8,85E-08;0,42253754;0,267736379;0,577338701;0,078978963;0,399435948;-0,021358566;Cardiometabolic
SRSF2_mis_VAF10;TIMD4:Q96H15:OID20375:v1:Cardiometabolic;35661;16;35645;9,75E-08;1,276727525;0,807435755;1,746019295;0,239430807;1,475580399;0;Cardiometabolic
SRSF2_mis_VAF05;SDC4:P31431:OID20216:v1:Cardiometabolic;35528;19;35509;1,09E-07;-1,201192318;-1,644456728;-0,757927909;0,226151722;-1,283113097;-0,012473902;Cardiometabolic
TET2_VE_mis_VAF10;PRSS27:Q9BQR3:OID20212:v1:Cardiometabolic;35398;196;35202;1,11E-07;-0,371922826;-0,509249076;-0,234596576;0,070063293;-0,407082467;0,002244535;Cardiometabolic
SRSF2_mis_VAF05;TIMD4:Q96H15:OID20375:v1:Cardiometabolic;35661;19;35642;1,13E-07;1,16601588;0,73530926;1,5967225;0,219744816;1,427543575;0;Cardiometabolic
TET2_VE_VAF10;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;144;35384;1,18E-07;-0,425334504;-0,582696931;-0,267972076;0,080285679;-0,289148234;0,003742866;Cardiometabolic
GNB1_mis_VAF20;TNFRSF10C:O14798:OID20265:v1:Cardiometabolic;35566;12;35554;1,25E-07;1,509328078;0,949866873;2,068789283;0,285434871;1,509049868;-0,008168064;Cardiometabolic
SF3B1_mis;TNFSF13:O75888:OID20733:v1:Inflammation;35657;21;35636;1,28E-07;-1,09810948;-1,505545;-0,69067396;0,207871993;-0,651361528;0,025995833;Inflammation
TET2_mis;FLT3LG:P49771:OID20661:v1:Inflammation;35880;141;35739;1,36E-07;-0,419952354;-0,576103133;-0,263801575;0,079667528;-0,242310166;0,012876819;Inflammation
SRSF2_mis_VAF20;LILRA5:A6NI73:OID20209:v1:Cardiometabolic;35459;14;35445;1,47E-07;1,291304237;0,809881071;1,772727402;0,24562015;1,707147166;-0,011276492;Cardiometabolic
TET2_VE_mis_VAF10;COL1A1:P02452:OID20335:v1:Cardiometabolic;35953;200;35753;1,54E-07;-0,366482097;-0,503333807;-0,229630386;0,069821222;-0,365873264;0,001270127;Cardiometabolic
CH_VE_mis_VAF20;FLT3:P36888:OID21272:v1:Oncology;34690;269;34421;1,83E-07;0,310877354;0,194077238;0,42767747;0,059590901;0,216400582;-0,011360497;Oncology
SRSF2_mis_VAF20;SDC4:P31431:OID20216:v1:Cardiometabolic;35528;14;35514;2,00E-07;-1,369844349;-1,886151273;-0,853537425;0,26341772;-1,55424882;-0,012581031;Cardiometabolic
TET2_VE_mis_VAF05;KIR3DL1:P43629:OID21185:v1:Oncology;34690;355;34335;2,08E-07;-0,275707058;-0,379763408;-0,171650709;0,053089088;-0,301659492;-0,009166341;Oncology
JAK2_mis_VAF20;GP1BA:P07359:OID20381:v1:Cardiometabolic;35318;5;35313;2,17E-07;2,278284963;1,417025393;3,139544532;0,439411084;2,927500789;0,012306865;Cardiometabolic
IDH2_mis_VAF05;S100P:P25815:OID20103:v1:Cardiometabolic;34840;5;34835;2,39E-07;-2,207861415;-3,045411655;-1,370311176;0,427314482;-2,16747548;0,019856232;Cardiometabolic
IDH2_mis_VAF10;S100P:P25815:OID20103:v1:Cardiometabolic;34840;5;34835;2,39E-07;-2,207861415;-3,045411655;-1,370311176;0,427314482;-2,16747548;0,019856232;Cardiometabolic
CH_VE_VAF20;DDAH1:O94760:OID21299:v1:Oncology;35344;162;35182;2,50E-07;0,389438986;0,241483881;0,53739409;0,075486087;0,459372003;0,015420943;Oncology
SRSF2_mis_VAF10;LILRA2:Q8N149:OID21152:v1:Neurology;35585;17;35568;2,52E-07;1,153277965;0,714950912;1,591605018;0,223632715;1,177979392;0,021924975;Neurology
CH_VE_mis;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;1743;33702;3,01E-07;0,124648146;0,076965438;0,172330855;0,024327524;0,094050752;-0,000477197;Inflammation
GNB1_mis_VAF20;CEACAM8:P31997:OID20102:v1:Cardiometabolic;34840;12;34828;3,11E-07;1,38007652;0,851540292;1,908612748;0,26965688;1,370540488;0,039817344;Cardiometabolic
IDH2_mis_VAF05;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;5;34434;3,47E-07;-2,122135123;-2,938245374;-1,306024872;0,416375723;-2,289495596;0,044557254;Cardiometabolic
IDH2_mis_VAF10;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;5;34434;3,47E-07;-2,122135123;-2,938245374;-1,306024872;0,416375723;-2,289495596;0,044557254;Cardiometabolic
TET2_VE_mis;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;388;34051;3,48E-07;-0,243400681;-0,337010663;-0,149790699;0,047759385;0,042977275;0,044434763;Cardiometabolic
SF3B1_mis;PDGFA:P04085:OID20313:v1:Cardiometabolic;35953;20;35933;3,69E-07;-1,156454667;-1,60220053;-0,710708804;0,227417842;-1,095337487;0,010702196;Cardiometabolic
TET2_VE_VAF20;DEFA1_DEFA1B:P59665:OID20344:v1:Cardiometabolic;34834;54;34780;4,11E-07;-0,66027017;-0,915800651;-0,404739688;0,130370537;-0,608737365;0,031969191;Cardiometabolic
SF3B1_mis_VAF10;PAPPA:Q13219:OID20421:v1:Inflammation;34873;12;34861;4,47E-07;1,357602586;0,83054858;1,884656592;0,268900665;2,000792905;0,018721693;Inflammation
TET2_VE_mis_VAF05;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;345;34094;4,48E-07;-0,255655987;-0,354918314;-0,156393661;0,050643186;0,055339267;0,044434763;Cardiometabolic
SF3B1_mis;TNFRSF8:P28908:OID21049:v1:Neurology;35866;21;35845;4,58E-07;1,099947665;0,672528415;1,527366915;0,218067656;1,247497724;0,003655346;Neurology
JAK2_mis;ESAM:Q96AP7:OID20270:v1:Cardiometabolic;35953;16;35937;4,72E-07;1,199859977;0,733093296;1,666626658;0,238142583;1,441025835;0,031546707;Cardiometabolic
JAK2_mis_VAF05;ESAM:Q96AP7:OID20270:v1:Cardiometabolic;35953;16;35937;4,72E-07;1,199859977;0,733093296;1,666626658;0,238142583;1,441025835;0,031546707;Cardiometabolic
SRSF2_mis;TIMD4:Q96H15:OID20375:v1:Cardiometabolic;35661;22;35639;5,07E-07;1,026123865;0,625839628;1,426408103;0,204223437;1,317960625;0;Cardiometabolic
TET2_VE_mis;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;397;35131;5,33E-07;-0,244296035;-0,339777181;-0,148814888;0,048714097;-0,126761428;0,003742866;Cardiometabolic
IDH2_mis_VAF05;LILRA5:A6NI73:OID20209:v1:Cardiometabolic;35459;5;35454;5,45E-07;2,058580254;1,253322979;2,86383753;0,410839002;2,296111289;-0,011121523;Cardiometabolic
IDH2_mis_VAF10;LILRA5:A6NI73:OID20209:v1:Cardiometabolic;35459;5;35454;5,45E-07;2,058580254;1,253322979;2,86383753;0,410839002;2,296111289;-0,011121523;Cardiometabolic
TET2_VE_mis_VAF05;PRSS27:Q9BQR3:OID20212:v1:Cardiometabolic;35398;353;35045;5,53E-07;-0,263071785;-0,366037152;-0,160106418;0,05253251;-0,317030653;0,002244535;Cardiometabolic
SF3B1_mis_VAF05;PDGFA:P04085:OID20313:v1:Cardiometabolic;35953;19;35934;5,78E-07;-1,168120101;-1,626091861;-0,710148341;0,233655448;-1,144357119;0,010655152;Cardiometabolic
TET2_VE_VAF05;KIR3DL1:P43629:OID21185:v1:Oncology;34690;247;34443;5,85E-07;-0,317706434;-0,44232033;-0,193092537;0,063577457;-0,337295437;-0,009605168;Oncology
CH_VE_mis;APP:P05067:OID21070:v1:Neurology;35585;1751;33834;6,32E-07;-0,121552008;-0,169371763;-0,073732252;0,024397448;-0,080741192;0,009668099;Neurology
SF3B1_mis;TIMP3:P35625:OID20684:v1:Inflammation;35657;21;35636;6,52E-07;-1,091375661;-1,521262831;-0,661488492;0,219326736;-0,825329466;0,023799404;Inflammation
DNMT3A_VE_mis;CCL24:O00175:OID20772:v1:Inflammation;35596;1062;34534;6,75E-07;-0,152180774;-0,212204581;-0,092156967;0,030623908;-0,073974359;0,046236311;Inflammation
TET2_VE_mis_VAF05;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;355;35173;6,76E-07;-0,255935836;-0,356887664;-0,154984008;0,051505217;-0,126761428;0,003742866;Cardiometabolic
CH_VE_VAF10;SIGLEC6:O43699:OID21394:v1:Oncology;35820;467;35353;6,98E-07;0,227482008;0,137637504;0,317326511;0,045838318;0,313274039;0,000236242;Oncology
CH_VE_mis_VAF20;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;281;35164;7,11E-07;0,292251591;0,176747464;0,407755719;0,058929738;0,314824769;-0,000477197;Inflammation
CH_VE_mis_VAF10;SIGLEC6:O43699:OID21394:v1:Oncology;35820;773;35047;8,32E-07;0,17667285;0,106410909;0,246934791;0,03584737;0,232896461;0,000236242;Oncology
SRSF2_mis_VAF10;TNFSF13B:Q9Y275:OID20272:v1:Cardiometabolic;35882;17;35865;8,43E-07;1,11046433;0,66862301;1,55230565;0,225425744;1,717092164;0,011897294;Cardiometabolic
JAK2_mis_VAF10;COMT:P21964:OID20086:v1:Cardiometabolic;34528;14;34514;8,54E-07;1,292356603;0,777866938;1,806846268;0,262490302;0,838319763;-0,008196698;Cardiometabolic
TET2_VE_VAF10;LILRB2:Q8N423:OID20301:v1:Cardiometabolic;35757;143;35614;8,64E-07;0,397868772;0,239407943;0,5563296;0,080846096;0,43891555;0,015643667;Cardiometabolic
CH_VE_mis_VAF10;FLT3:P36888:OID21272:v1:Oncology;34690;750;33940;9,89E-07;0,176550036;0,105853343;0,247246729;0,036069139;0,096651473;-0,011823714;Oncology
SRSF2_mis_VAF20;CD244:Q9BZW8:OID20628:v1:Inflammation;35880;14;35866;1,00E-06;1,279968737;0,767157869;1,792779606;0,261634135;1,094072325;0,012617382;Inflammation
BRAF_mis;CD1C:P29017:OID21483:v1:Oncology;35644;4;35640;1,00E-06;2,322609199;1,392042762;3,253175636;0,474771314;1,999375413;-0,014703983;Oncology
BRAF_mis_VAF05;CD1C:P29017:OID21483:v1:Oncology;35644;4;35640;1,00E-06;2,322609199;1,392042762;3,253175636;0,474771314;1,999375413;-0,014703983;Oncology
CH_VE_mis_VAF20;TNFSF13B:Q9Y275:OID20272:v1:Cardiometabolic;35882;278;35604;1,01E-06;0,2744903;0,164491189;0,38448941;0,056121123;0,348181914;0,008716734;Cardiometabolic
SF3B1_mis;VEGFC:P49767:OID21524:v1:Oncology;35644;21;35623;1,01E-06;-1,071023913;-1,5002821;-0,641765726;0,219005829;-1,137490081;0,01311234;Oncology
SRSF2_mis_VAF10;LILRA5:A6NI73:OID20209:v1:Cardiometabolic;35459;16;35443;1,04E-06;1,122513783;0,672150026;1,572877541;0,229773766;1,360691302;-0,011276492;Cardiometabolic
CH_VE_mis_VAF10;DDAH1:O94760:OID21299:v1:Oncology;35344;765;34579;1,05E-06;0,172067018;0,102991462;0,241142573;0,035242065;0,252841674;0,005818574;Oncology
SF3B1_mis;ADAM8:P78325:OID21039:v1:Neurology;35795;21;35774;1,06E-06;1,04233928;0,623818778;1,460859783;0,213527534;1,311819292;0,004369825;Neurology
SF3B1_mis;SERPINE1:P05121:OID20342:v1:Cardiometabolic;35889;20;35869;1,19E-06;-1,088108194;-1,527064039;-0,649152349;0,223953587;-0,913046778;0,013875585;Cardiometabolic
CH_VE_mis_VAF05;CCL5:P13501:OID20412:v1:Cardiometabolic;35661;1454;34207;1,20E-06;-0,129539235;-0,181828396;-0,077250073;0,026677724;-0,080036658;0,000355602;Cardiometabolic
SF3B1_mis_VAF10;CD63:P08962:OID20988:v1:Neurology;35260;12;35248;1,27E-06;-1,374945641;-1,931179544;-0,818711738;0,28378823;-1,380025534;-0,013737067;Neurology
SF3B1_mis_VAF05;SERPINE1:P05121:OID20342:v1:Cardiometabolic;35889;19;35870;1,27E-06;-1,114740538;-1,565731444;-0,663749632;0,230093829;-0,917549951;0,013875585;Cardiometabolic
SF3B1_mis_VAF05;ADAM8:P78325:OID21039:v1:Neurology;35795;20;35775;1,31E-06;1,060067337;0,630664119;1,489470555;0,219079854;1,334252911;0,004369825;Neurology
TET2_VE_VAF20;PRSS27:Q9BQR3:OID20212:v1:Cardiometabolic;35398;56;35342;1,32E-06;-0,632268587;-0,888443485;-0,376093689;0,130699388;-0,791434899;0,002244535;Cardiometabolic
GNB1_mis;CEACAM8:P31997:OID20102:v1:Cardiometabolic;34840;17;34823;1,32E-06;1,095707932;0,651696222;1,539719641;0,226532839;1,135735801;0,039817344;Cardiometabolic
GNB1_mis_VAF05;CEACAM8:P31997:OID20102:v1:Cardiometabolic;34840;17;34823;1,32E-06;1,095707932;0,651696222;1,539719641;0,226532839;1,135735801;0,039817344;Cardiometabolic
GNB1_mis_VAF10;CEACAM8:P31997:OID20102:v1:Cardiometabolic;34840;17;34823;1,32E-06;1,095707932;0,651696222;1,539719641;0,226532839;1,135735801;0,039817344;Cardiometabolic
IDH2_mis;S100P:P25815:OID20103:v1:Cardiometabolic;34840;6;34834;1,33E-06;-1,886955093;-2,651637031;-1,122273155;0,390137392;-2,136714088;0,019904727;Cardiometabolic
SRSF2_mis_VAF10;DDAH1:O94760:OID21299:v1:Oncology;35344;17;35327;1,38E-06;1,121865958;0,666492899;1,577239017;0,232329466;1,362747795;0,016762015;Oncology
CH_VE_mis;KIR2DL3:P43628:OID21196:v1:Oncology;34690;1702;32988;1,39E-06;-0,117967696;-0,165865223;-0,070070168;0,024437106;-0,01499317;0,022210389;Oncology
IDH2_mis;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;6;34433;1,49E-06;-1,829637927;-2,574741566;-1,084534287;0,380148474;-2,030863521;0,044679745;Cardiometabolic
TET2_VE_mis;KIR3DL1:P43629:OID21185:v1:Oncology;34690;393;34297;1,50E-06;-0,242885626;-0,34180569;-0,143965562;0,050468578;-0,254272508;-0,009288237;Oncology
CH_VE_mis;CCL5:P13501:OID20412:v1:Cardiometabolic;35661;1747;33914;1,51E-06;-0,117551547;-0,165448963;-0,069654132;0,024437072;-0,060940548;0,000355602;Cardiometabolic
SF3B1_mis_VAF05;PDGFB:P01127:OID20741:v1:Inflammation;35657;20;35637;1,54E-06;-1,091641168;-1,536726123;-0,646556213;0,227080586;-1,042537625;0,014480572;Inflammation
JAK2_mis_VAF10;ESAM:Q96AP7:OID20270:v1:Cardiometabolic;35953;14;35939;1,56E-06;1,223032053;0,724028186;1,722035921;0,254589873;1,718802785;0,031546707;Cardiometabolic
TET2_VE_mis_VAF10;LILRB2:Q8N423:OID20301:v1:Cardiometabolic;35757;199;35558;1,57E-06;0,329523024;0,195048456;0,463997592;0,0686084;0,429178993;0,015230093;Cardiometabolic
SRSF2_mis_VAF20;TIMD4:Q96H15:OID20375:v1:Cardiometabolic;35661;13;35648;1,58E-06;1,275487085;0,754833767;1,796140404;0,265635266;1,427543575;0;Cardiometabolic
DNMT3A_VE_mis_VAF05;CCL24:O00175:OID20772:v1:Inflammation;35596;842;34754;1,67E-06;-0,16434438;-0,231584446;-0,097104314;0,034305614;-0,083334875;0,045581792;Inflammation
CH_VE_mis_VAF20;SIGLEC7:Q9Y286:OID20190:v1:Cardiometabolic;35528;278;35250;1,72E-06;0,264105105;0,155921046;0,372289164;0,055195073;0,424960469;0,020259049;Cardiometabolic
JAK2_mis_VAF20;FCGR2A:P12318:OID20391:v1:Cardiometabolic;35318;5;35313;1,72E-06;2,066782359;1,220088198;2,91347652;0,431979873;2,69680608;-0,032142888;Cardiometabolic
TET2_VE_mis_VAF10;LILRB1:Q8NHL6:OID20323:v1:Cardiometabolic;35953;200;35753;1,72E-06;0,320991221;0,189486054;0,452496388;0,067093436;0,264474484;-0,021899672;Cardiometabolic
SRSF2_mis;HBEGF:Q99075:OID21465:v1:Oncology;35704;23;35681;1,75E-06;-0,977896029;-1,378761143;-0,577030916;0,204519806;-1,194271484;0,016039291;Oncology
SF3B1_mis;PDGFB:P01127:OID20741:v1:Inflammation;35657;21;35636;1,75E-06;-1,058239935;-1,492048751;-0,624431119;0,221327544;-1,040269078;0,014563663;Inflammation
CH_VE_VAF05;FLT3:P36888:OID21272:v1:Oncology;34690;857;33833;1,76E-06;0,161724116;0,095414934;0,228033297;0,03383065;0,05839464;-0,011360497;Oncology
CH_VE_mis_VAF20;SIGLEC6:O43699:OID21394:v1:Oncology;35820;282;35538;1,77E-06;0,280652921;0,165541101;0,39576474;0,058729605;0,27254719;0,000236242;Oncology
TET2_VE_mis_VAF20;DEFA1_DEFA1B:P59665:OID20344:v1:Cardiometabolic;34834;67;34767;1,80E-06;-0,55911606;-0,788583757;-0,329648363;0,117073418;-0,368044467;0,031969191;Cardiometabolic
SF3B1_mis_VAF05;TNFRSF8:P28908:OID21049:v1:Neurology;35866;20;35846;1,81E-06;1,06825254;0,629705535;1,506799544;0,223744993;1,233742134;0,003655346;Neurology
TET2_VE_VAF05;SIGLEC6:O43699:OID21394:v1:Oncology;35820;254;35566;1,81E-06;0,295982485;0,174472292;0,417492678;0,06199403;0,21989372;0,000236242;Oncology
SF3B1_mis_VAF05;SSC5D:A1L4H1:OID20351:v1:Cardiometabolic;35661;20;35641;1,86E-06;-1,01050082;-1,425826251;-0,595175389;0,211897394;-0,791290944;0,00943528;Cardiometabolic
SRSF2_mis_VAF10;IFNLR1:Q8IU57:OID20506:v1:Inflammation;35445;17;35428;1,87E-06;1,092332828;0,643314383;1,541351273;0,22908739;1,438054865;0,002385985;Inflammation
PPM1D_VE;REN:P00797:OID20201:v1:Cardiometabolic;35528;67;35461;1,90E-06;0,539455683;0,317549345;0,761362021;0,113215723;0,972865784;0,008783988;Cardiometabolic
SF3B1_mis_VAF05;VEGFC:P49767:OID21524:v1:Oncology;35644;20;35624;2,00E-06;-1,068176759;-1,508602392;-0,627751127;0,224703415;-1,16881036;0,01311234;Oncology
SF3B1_mis_VAF05;TIMP3:P35625:OID20684:v1:Inflammation;35657;20;35637;2,09E-06;-1,067781;-1,508857872;-0,626704128;0,225035678;-0,771304297;0,023763787;Inflammation
TET2_VE;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;272;35256;2,14E-06;-0,278604864;-0,393795586;-0,163414142;0,058769844;-0,151539636;0,003742866;Cardiometabolic
JAK2_mis_VAF20;ICAM2:P13598:OID20248:v1:Cardiometabolic;35953;5;35948;2,23E-06;2,101773175;1,231243262;2,972303088;0,444141046;2,299555818;-0,000729147;Cardiometabolic
CH_mis_VAF20;LILRA5:A6NI73:OID20209:v1:Cardiometabolic;35459;127;35332;2,25E-06;0,388062997;0,227269431;0,548856563;0,082036226;0,483904108;-0,012659303;Cardiometabolic
SRSF2_mis_VAF05;IFNLR1:Q8IU57:OID20506:v1:Inflammation;35445;20;35425;2,34E-06;0,997568427;0,583537034;1,411599821;0,211237138;1,200849411;0,002385985;Inflammation
TET2_VE_mis_VAF20;S100A12:P80511:OID21374:v1:Oncology;35038;70;34968;2,41E-06;-0,545226104;-0,771804295;-0,318647913;0,115599229;-0,407568253;0,005436694;Oncology
GNB1_mis;TNFRSF10C:O14798:OID20265:v1:Cardiometabolic;35566;17;35549;2,49E-06;1,129403396;0,659391615;1,599415177;0,239798132;1,057880916;-0,008168064;Cardiometabolic
GNB1_mis_VAF05;TNFRSF10C:O14798:OID20265:v1:Cardiometabolic;35566;17;35549;2,49E-06;1,129403396;0,659391615;1,599415177;0,239798132;1,057880916;-0,008168064;Cardiometabolic
GNB1_mis_VAF10;TNFRSF10C:O14798:OID20265:v1:Cardiometabolic;35566;17;35549;2,49E-06;1,129403396;0,659391615;1,599415177;0,239798132;1,057880916;-0,008168064;Cardiometabolic
JAK2_mis_VAF10;SNX9:Q9Y5X1:OID20135:v1:Cardiometabolic;35528;14;35514;2,50E-06;1,228251878;0,717007795;1,739495961;0,260834679;1,130820551;-0,001666319;Cardiometabolic
JAK2_mis_VAF10;ITGB1BP2:Q9UKP3:OID20112:v1:Cardiometabolic;34840;14;34826;2,63E-06;1,240325411;0,722882749;1,757768073;0,263996991;0,800740467;0,000533344;Cardiometabolic
ASXL1_VE_VAF10;ITGAM:P11215:OID21071:v1:Neurology;35585;68;35517;2,64E-06;0,545298948;0,317770656;0,77282724;0,116084028;0,410422594;-0,026515459;Neurology
CH_VE_mis_VAF20;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;278;35250;2,67E-06;-0,272517512;-0,386273047;-0,158761977;0,058037617;-0,071139286;0,003742866;Cardiometabolic
TET2_VE_VAF10;LRRC25:Q8N386:OID21333:v1:Oncology;35344;146;35198;2,76E-06;0,37188318;0,21642361;0,527342749;0,079314834;0,380873227;0,002250796;Oncology
SF3B1_mis_VAF10;DKK1:O94907:OID21066:v1:Neurology;35866;12;35854;2,83E-06;-1,333170575;-1,89112683;-0,775214321;0,284667133;-1,621659174;0,003796843;Neurology
CH_mis_VAF20;VSIG4:Q9Y279:OID21144:v1:Neurology;35585;128;35457;2,86E-06;0,365794261;0,212638228;0,518950294;0,078139597;0,539889439;0,022240765;Neurology
SRSF2_mis_VAF20;TNFSF13B:Q9Y275:OID20272:v1:Cardiometabolic;35882;14;35868;2,86E-06;1,162836573;0,675959435;1,64971371;0,248402845;1,669385735;0,011897294;Cardiometabolic
SF3B1_mis_VAF05;EBI3_IL27:Q14213_Q8NEV9:OID21389:v1:Oncology;35758;20;35738;2,94E-06;-1,024234686;-1,453559643;-0,59490973;0,219039918;-0,906085391;0,007310266;Oncology
JAK2_mis;COMT:P21964:OID20086:v1:Cardiometabolic;34528;16;34512;2,97E-06;1,147586818;0,666302158;1,628871477;0,245549258;0,62181156;-0,008196698;Cardiometabolic
JAK2_mis_VAF05;COMT:P21964:OID20086:v1:Cardiometabolic;34528;16;34512;2,97E-06;1,147586818;0,666302158;1,628871477;0,245549258;0,62181156;-0,008196698;Cardiometabolic
TET2_VE;KIR3DL1:P43629:OID21185:v1:Oncology;34690;270;34420;3,24E-06;-0,283073378;-0,402252586;-0,163894169;0,060804704;-0,312443742;-0,009775824;Oncology
CH_VE_VAF10;CA1:P00915:OID20409:v1:Cardiometabolic;34671;455;34216;3,29E-06;-0,211265277;-0,30026347;-0,122267085;0,045406482;-0,1971184;-0,00026752;Cardiometabolic
DNMT3A_VE_mis_VAF10;LAG3:P18627:OID21315:v1:Oncology;35344;436;34908;3,36E-06;0,212960272;0,123157757;0,302762787;0,045816875;0,386668806;-0,000407058;Oncology
TET2_VE_VAF10;LILRA5:A6NI73:OID20209:v1:Cardiometabolic;35459;144;35315;3,39E-06;0,356777605;0,206278966;0,507276243;0,076783796;0,610981619;-0,012659303;Cardiometabolic
ASXL1_VE_VAF10;CD163:Q86VB7:OID20360:v1:Cardiometabolic;35661;68;35593;3,48E-06;0,52728183;0,30459764;0,74996602;0,113612594;0,700291514;0,000118532;Cardiometabolic
CH_VE_VAF20;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;164;35281;3,48E-06;0,356626955;0,206013696;0,507240214;0,076842274;0,370342766;0,008279455;Inflammation
CH_VE_mis_VAF10;SIGLEC5:O15389:OID21082:v1:Neurology;35585;771;34814;3,50E-06;0,165305038;0,095478149;0,235131926;0,0356254;0,283771426;0,024017982;Neurology
SRSF2_mis;IFNLR1:Q8IU57:OID20506:v1:Inflammation;35445;23;35422;3,62E-06;0,912557172;0,526466217;1,298648126;0,196982039;1,03220705;0,002385985;Inflammation
